Author,n,Sex,Group,Health,Age_grp,Age_M,Age_SD,Age_SEM,BWgt_M,BWgt_SD,BWgt_SEM,RT_status,RT_yr_min,RT_yr_M,RT_yr_SD,Equipment,Exercise,Upper_Lower,%1RM,Limb,Pace_method,CON_s,ECC_s,Sum_s,Contraction,ECC_CON_Reps_M,ECC_CON_Reps_SD,ECC_CON_Reps_SEM,ECC_CON_Reps_MIN,ECC_CON_Reps_MAX,ECC_CON_1RM_M,ECC_CON_1RM_SD,ECC_CON_1RM_ratio_M,ECC_CON_1RM_ratio_SD,ECC_1RM_M,ECC_1RM_SD,CON_1RM_M,CON_1RM_SD,ABT_Bwgt,ABT_Hgt
Ballmann.PerceptMotSkills.2021,10,M,G1,Healthy,Adult 18-59,22.8,5.8,,81,18.2,,Trained,,7,5.1,Barbell,Bench press,Upper,75,Bilateral,,,,,ECC-CON,12.16,1.87,,,,101.4,12.7,1.4,0.2,,,,,YES,YES
Barker.JSCR.1993,22,M,G1,Healthy,Adult 18-59,20.4,1,,101.9,20.6,,Trained,,,,,Squat,Lower,70,Bilateral,,,,,ECC-CON,15.2,3.6,,,,174.4,34.5,1.711,,,,,,NO,NO
Barker.JSCR.1993,37,M,G2,Healthy,Adult 18-59,19.3,0.9,,93.4,14.4,,Trained,,,,,Squat,Lower,70,Bilateral,,,,,ECC-CON,16.3,3.6,,,,156.2,24.6,1.672,,,,,,NO,NO
Barker.JSCR.1993,22,M,G1,Healthy,Adult 18-59,20.4,1,,101.9,20.6,,Trained,,,,,Squat,Lower,90,Bilateral,,,,,ECC-CON,5.4,1.6,,,,174.4,34.5,1.711,,,,,,NO,NO
Barker.JSCR.1993,37,M,G2,Healthy,Adult 18-59,19.3,0.9,,93.4,14.4,,Trained,,,,,Squat,Lower,90,Bilateral,,,,,ECC-CON,5.4,2.6,,,,156.2,24.6,1.672,,,,,,NO,NO
Bartolomei.PerceptMotSkills.2015,19,M,G1,Healthy,Adult 18-59,26.6,6.8,,84.7,11.7,,Trained,,,,Smith machine,Bench press,Upper,60,Bilateral,,,,,ECC-CON,21.29,0.72,,,,103.5,19.9,1.222,,,,,,YES,YES
Bartolomei.PerceptMotSkills.2015,12,M,G2,Healthy,Adult 18-59,21.6,2.7,,81.7,13.5,,Trained,,,,Smith machine,Bench press,Upper,60,Bilateral,,,,,ECC-CON,23.63,0.9,,,,93.3,22.4,1.142,,,,,,YES,YES
Bastos-Silva.JSCR.2019,12,M,G1,Healthy,Adult 18-59,22.08,1.88,,76.65,14.07,,Trained,2,,,Machine,Chest press,Upper,80,Bilateral,Metronome,2,2,4,ECC-CON,6.88,1.8,,,,66.3,15.5,0.865,,,,,,NO,NO
Bastos-Silva.JSCR.2019,12,M,G1,Healthy,Adult 18-59,22.08,1.88,,76.65,14.07,,Trained,2,,,Machine,Leg press,Lower,80,Bilateral,Metronome,2,2,4,ECC-CON,12.5,4.53,,,,87.1,16.8,1.136,,,,,,NO,NO
Beck.JSCR.2007,23,M,G1,Healthy,Adult 18-59,21.8,2.9,,78.8,14,,Untrained,,,,Barbell,Bench press,Upper,80,Bilateral,,,,,ECC-CON,7.5,2.3,,,,74.8,12.5,0.949,,,,,,NO,NO
Beck.JSCR.2007,28,M,G2,Healthy,Adult 18-59,21.8,2.9,,78.8,14,,Untrained,,,,Machine,Knee extension,Lower,80,Bilateral,,,,,ECC-CON,13.8,5.4,,,,81.5,15.4,1.034,,,,,,NO,NO
Behringer.JPhysiolSci.2018,20,M,G1,Healthy,Adult 18-59,25.3,3.3,,81.4,10,,,,,,Machine,Knee extension,Lower,75,Unilateral,,,,,ECC only,79.93,13.82,,,,,,,,,,,,NO,NO
Berger.JAssocPhysMentalRehabil.1966,23,M,G1,Healthy,Adult 18-59,,,,,,,,,,,Barbell,Bench press,Upper,50,Bilateral,,,,2,ECC-CON,24.47,,,,,57.77,,,,,,,,NO,NO
Berger.JAssocPhysMentalRehabil.1966,23,M,G2,Healthy,Adult 18-59,,,,,,,,,,,Barbell,Bench press,Upper,50,Bilateral,,,,2,ECC-CON,26.68,,,,,59.15,,,,,,,,NO,NO
Berger.JAssocPhysMentalRehabil.1966,23,M,G3,Healthy,Adult 18-59,,,,,,,,,,,Barbell,Bench press,Upper,50,Bilateral,,,,2,ECC-CON,27.82,,,,,58.96,,,,,,,,NO,NO
Berjisian.Nutrients.2022,20,Mixed,G1,Healthy,Adult 18-59,31,6,,78.7,10.4,,Mixed,,,,Smith machine,Bench press,Upper,70,Bilateral,,,,,ECC-CON,16.1,2.6,,,,109.8,17,1.395,,,,,,NO,NO
Berjisian.Nutrients.2022,20,Mixed,G1,Healthy,Adult 18-59,31,6,,78.7,10.4,,Mixed,,,,Smith machine,Squat,Lower,70,Bilateral,,,,,ECC-CON,16.6,2.3,,,,152.5,15.5,1.938,,,,,,NO,NO
Biagini.JSCR.2012,20,M,G1,Healthy,Adult 18-59,22.95,1.9,,83.85,15.15,,Trained,,,,Barbell,Bench press,Upper,75,Bilateral,,,,,ECC-CON,13.9,1.83,,,,134.77,26.02,1.607,,,,,,NO,NO
Bloomer.JSCR.2012,14,M,G1,Healthy,Adult 18-59,24.2,1,,80.8,2,,Trained,,,,Barbell,Biceps curl,Upper,80,Bilateral,,,,,ECC-CON,7.8,,0.7,,,45.7,1.5,0.566,,,,,,NO,NO
Borve.FrontPhysiol.2017,11,Mixed,G1,Healthy,Adult 18-59,30,4,,76,8,,Endurance trained,,0,0,Machine,Triceps extension,Upper,55,Bilateral,,,,1.4,ECC-CON,57.86,15.71,,,,,,,,,,,,YES,YES
Borve.FrontPhysiol.2017,11,Mixed,G2,Healthy,Adult 18-59,32,4,,78,11,,Endurance trained,,0,0,Machine,Triceps extension,Upper,55,Bilateral,,,,1.4,ECC-CON,55,14.29,,,,,,,,,,,,YES,YES
Brechue.JSCR.2009,11,M,G1,Healthy,Adult 18-59,18.9,0.5,,83.49,8.16,,,,,,Barbell,Bench press,Upper,60,Bilateral,,,,,ECC-CON,22,3.4,,,,104.3,4.53,1.26,0.13,,,,,NO,NO
Brechue.JSCR.2009,11,M,G1,Healthy,Adult 18-59,18.9,0.5,,83.49,8.16,,,,,,Barbell,Bench press,Upper,70,Bilateral,,,,,ECC-CON,14.2,1.8,,,,104.3,4.53,1.26,0.13,,,,,NO,NO
Brechue.JSCR.2009,11,M,G1,Healthy,Adult 18-59,18.9,0.5,,83.49,8.16,,,,,,Barbell,Bench press,Upper,80,Bilateral,,,,,ECC-CON,9.9,1.8,,,,104.3,4.53,1.26,0.13,,,,,NO,NO
Brechue.JSCR.2009,11,M,G1,Healthy,Adult 18-59,18.9,0.5,,83.49,8.16,,,,,,Barbell,Bench press,Upper,90,Bilateral,,,,,ECC-CON,4.1,1.2,,,,104.3,4.53,1.26,0.13,,,,,NO,NO
Brechue.JSCR.2009,12,M,G2,Healthy,Adult 18-59,19.5,1.2,,97.14,15.2,,,,,,Barbell,Bench press,Upper,60,Bilateral,,,,,ECC-CON,19.5,1.9,,,,116.1,5.44,1.22,0.13,,,,,NO,NO
Brechue.JSCR.2009,12,M,G2,Healthy,Adult 18-59,19.5,1.2,,97.14,15.2,,,,,,Barbell,Bench press,Upper,70,Bilateral,,,,,ECC-CON,12.9,1.5,,,,116.1,5.44,1.22,0.13,,,,,NO,NO
Brechue.JSCR.2009,12,M,G2,Healthy,Adult 18-59,19.5,1.2,,97.14,15.2,,,,,,Barbell,Bench press,Upper,80,Bilateral,,,,,ECC-CON,8.4,1.8,,,,116.1,5.44,1.22,0.13,,,,,NO,NO
Brechue.JSCR.2009,12,M,G2,Healthy,Adult 18-59,19.5,1.2,,97.14,15.2,,,,,,Barbell,Bench press,Upper,90,Bilateral,,,,,ECC-CON,4.4,0.9,,,,116.1,5.44,1.22,0.13,,,,,NO,NO
Brechue.JSCR.2009,35,M,G3,Healthy,Adult 18-59,19.7,1.3,,113.15,19.64,,,,,,Barbell,Bench press,Upper,60,Bilateral,,,,,ECC-CON,19.6,2.8,,,,137.41,15.51,1.25,0.13,,,,,NO,NO
Brechue.JSCR.2009,35,M,G3,Healthy,Adult 18-59,19.7,1.3,,113.15,19.64,,,,,,Barbell,Bench press,Upper,70,Bilateral,,,,,ECC-CON,12,2.3,,,,137.41,15.51,1.25,0.13,,,,,NO,NO
